tool,calls,trajectories
mcp__molclaw-scp__molecule_docking_quickvina_fullprocess,6098,224
skill,3939,596
mcp__molclaw-scp__server_file_to_base64,1679,232
write,1117,480
mcp__molclaw-scp__pred_binding_affinity_boltz2,708,151
edit,631,252
read,528,294
bash,411,179
mcp__molclaw-scp__fix_pdb,383,252
mcp__molclaw-scp__is_valid_smiles,351,302
mcp__molclaw-scp__retrieve_protein_structure_by_pdb_id,261,212
mcp__molclaw-scp__interaction_visualizer,260,106
mcp__molclaw-scp__calculate_mol_basic_info,253,235
mcp__molclaw-scp__foldx_tool,243,51
mcp__molclaw-scp__pred_pocket_prank,210,182
mcp__molclaw-scp__fpocket_toolkit,203,162
mcp__molclaw-scp__convert_smiles_to_format,198,102
mcp__molclaw-scp__calculate_mol_hydrophobicity,192,185
mcp__molclaw-scp__base64_to_server_file,180,81
mcp__molclaw-scp__calculate_mol_hbond,172,166
mcp__molclaw-scp__calculate_pdb_basic_info,167,121
mcp__molclaw-scp__retrieve_protein_structure_by_gene_name,163,122
mcp__molclaw-scp__calculate_mol_drug_chemistry,161,144
mcp__molclaw-scp__calculate_mol_structure_complexity,146,130
mcp__molclaw-scp__retrieve_protein_sequence,111,97
mcp__molclaw-scp__extract_and_save_chains,99,79
mcp__molclaw-scp__calculate_mol_topology,95,78
mcp__molclaw-scp__retrieve_protein_structure_by_uniprot_id,93,87
mcp__molclaw-scp__extract_pdb_chains,86,78
mcp__molclaw-scp__convert_complex_cif_to_pdb,79,46
mcp__molclaw-scp__calculate_pdb_composition_info,77,56
mcp__molclaw-scp__karmadock_tool,69,33
mcp__molclaw-scp__analyze_protein_ligand_interactions,68,43
mcp__molclaw-scp__reinvent_mol2mol_sampling,64,13
glob,61,40
mcp__molclaw-scp__linkinvent_linker_sampling_by_war_05f34bf4e548,58,13
mcp__molclaw-scp__pepinvent_peptide_sampling_by_template,52,18
mcp__molclaw-scp__calculate_dleps_score,50,8
mcp__molclaw-scp__hdock_tool,48,12
mcp__molclaw-scp__pred_mol_admet,46,32
mcp__molclaw-scp__visualize_molecule,42,12
mcp__molclaw-scp__chai1_predict,41,15
mcp__molclaw-scp__convert_pdb_to_pdbqt_dock,39,31
mcp__molclaw-scp__linkinvent_linker_sampling_by_warheads,38,9
mcp__molclaw-scp__pred_protein_structure_esmfold,36,21
mcp__molclaw-scp__equiscore_pocket,36,16
mcp__molclaw-scp__calculate_pdb_quality_metrics,32,24
mcp__molclaw-scp__calculate_pdb_structural_geometry,30,20
mcp__molclaw-scp__prolif_docking,30,9
mcp__molclaw-scp__prepare_complex,29,5
mcp__molclaw-scp__retrieve_smiles_by_compoundname,27,24
mcp__molclaw-scp__calculate_morgan_fingerprint_similarity,22,12
mcp__molclaw-scp__libinvent_rgroup_sampling_by_scaffold_name,19,12
mcp__molclaw-scp__prepare_protein_md,18,4
mcp__molclaw-scp__evobind_tool,16,3
mcp__molclaw-scp__pepinvent_peptide_sampling_by_peptide,16,2
mcp__molclaw-scp__get_pepinvent_info,13,11
mcp__molclaw-scp__goca_pipeline,10,5
mcp__molclaw-scp__is_valid_protein_sequence,10,9
mcp__molclaw-scp__visualize_protein,10,10
mcp__molclaw-scp__pack_sidechains,10,9
mcp__molclaw-scp__prolif_pdb,10,6
mcp__molclaw-scp__libinvent_rgroup_sampling_by_scaffold,9,5
mcp__molclaw-scp__reinvent_denovo_sampling,8,6
mcp__molclaw-scp__openawsem_sim,8,3
mcp__molclaw-scp__pulchura_rebuild,7,6
mcp__molclaw-scp__residue_mapper,7,6
mcp__molclaw-scp__calculate_mol_complexity,6,5
mcp__molclaw-scp__proteinmpnn_tool,6,3
mcp__molclaw-scp__calculate_common_fragments,5,3
mcp__molclaw-scp__equiscore_pipeline,4,4
mcp__molclaw-scp__protein_openmm_md,4,3
mcp__molclaw-scp__chroma_symmetry,4,4
mcp__molclaw-scp__chroma_monomer,3,3
mcp__molclaw-scp__chroma_complex,2,2
mcp__molclaw-scp__openawsem_traj_extract,2,2
mcp__molclaw-scp__run_bioemu,2,1
grep,1,1
mcp__molclaw-scp__calculate_mol_charge,1,1
mcp__molclaw-scp__calculate_protein_sequence_properties,1,1
mcp__molclaw-scp__extract_bioemu_structures,1,1
mcp__molclaw-scp__gmx_mmpbsa_propro,1,1
mcp__molclaw-scp__analyze_mmpbsa,1,1
mcp__molclaw-scp__openmm_extract_frames,1,1
