id,task_type,steps,tool_rounds,tool_calls,unique_tools,skill_calls,parallel_rounds,max_parallel_calls,explicit_error_observations,tokens,trainable_tokens
react_ac_7d6e3eb5bdf4c686,AC,22,21,21,8,7,0,1,6,55762,6984
react_ac_99a15051f0181668,AC,20,19,27,14,9,4,4,3,57586,7687
react_ac_71ad0472c2455488,AC,40,39,43,17,13,2,3,2,66099,14035
react_ac_d625e0e89f7bd708,AC,18,17,29,13,11,8,3,0,58426,9370
react_ac_c084889cadd8b12e,AC,12,11,11,7,3,0,1,0,46760,4421
react_ac_59ab28e452fdbb7a,AC,12,11,12,6,3,1,2,0,48024,4851
react_ac_694e8700b3ad79d3,AC,13,12,12,6,3,0,1,0,47520,5264
react_ac_83ca3b404f6d0733,AC,17,16,25,14,10,5,3,0,52798,5936
react_ac_e3cc23ea417424c0,AC,15,14,21,11,7,5,3,4,51388,4182
react_ac_e3863c9fe5f34a10,AC,18,17,21,12,7,2,3,2,51108,6893
react_ac_5f5a1843c6f75c46,AC,7,6,7,4,2,1,2,0,44524,3504
react_ac_2e410cb1cfc234d1,AC,11,10,13,7,3,3,2,0,51584,5831
react_ac_3c167597c8a43f85,AC,26,25,40,17,13,9,4,9,60896,7446
react_ac_73f2088cb1669479,AC,23,22,31,11,7,5,4,3,58596,7896
react_ac_41aba18cf397e085,AC,13,12,15,9,5,3,2,0,50096,4851
react_ac_487a8cd8860c4048,AC,20,19,29,16,11,6,4,1,56854,6497
react_ac_1394e1b6bdfde41b,AC,13,12,13,6,6,1,2,1,49838,3782
react_ac_d33d8e00e3aaac78,AC,16,15,16,9,4,1,2,0,50509,4814
react_ac_0a0dc3bc6a1c7671,AC,15,14,17,9,6,3,2,0,53735,4778
react_ac_c1dc881f3960f5dc,AC,14,13,15,7,3,2,2,1,49044,5687
react_ac_d4fa1a6aa4bf0268,AC,11,10,12,7,3,2,2,1,47483,5171
react_ac_f108d81adfa19fe9,AC,20,19,21,9,6,1,3,5,55406,8282
react_ac_87111b1ec1ccdc9b,AC,14,13,13,7,4,0,1,0,46461,4461
react_ac_a5d940c09baf0762,AC,15,14,14,8,4,0,1,0,48978,5009
react_ac_8e78827c53f4d29f,AC,27,26,29,13,9,3,2,2,61335,8647
react_ac_86704005a84d6470,AC,10,9,12,6,3,3,2,0,48016,6294
react_ac_8fd86cca3969926f,AC,27,26,27,13,8,1,2,5,56162,5316
react_ac_91b2f3de306e40ff,AC,12,11,11,5,2,0,1,2,46394,5111
react_ac_41eec63edfc452e3,AC,9,8,8,5,2,0,1,0,46279,4900
react_ac_de30761bdbfd12de,AC,17,16,21,12,7,5,2,0,51785,5324
react_ac_afe1ce3ad7a555e6,AC,13,12,13,7,2,1,2,1,47400,4910
react_ac_9814da5e677fac94,AC,27,26,30,13,8,4,2,7,58823,7222
react_ac_bbc48081be1b7932,AC,14,13,26,13,8,6,4,5,52046,6219
react_ac_25a12ffb01c80890,AC,13,12,15,8,4,3,2,1,49634,4655
react_ac_53cf5aa3996504d4,AC,27,26,40,20,14,9,4,2,61003,8438
react_ac_7044759339d06274,AC,19,18,22,11,6,4,2,4,53481,6423
react_ac_673f33b532ce31fa,AC,15,14,14,7,2,0,1,3,49372,6735
react_ac_0f54a04799f6f54f,AC,24,23,25,12,7,2,2,3,62627,8851
react_pf_817cf3ecc8c8c7a9,PF,3,2,8,5,4,2,4,0,47130,2979
react_pf_6c3d1bff3dbfdc8f,PF,5,4,10,6,5,4,3,0,50261,4666
